"original_text","predicted_sentiment","confidence"
"I love this product! It works perfectly and arrived on time.","positive","0.9904780489969447"
"Worst purchase ever. Broke within 2 days. Complete waste of money.","negative","0.9432437215121809"
"It's Nice ","neutral","0.6629812138849446"
"Absolutely amazing quality! Highly recommend to everyone.","positive","0.9087992261219934"
"Terrible customer service. Waited hours and no solution.","negative","0.7416567802088859"
"The item is decent. Could be better in terms of design.","neutral","0.45465735220489273"
"This changed my life. Best decision I've made this year!","positive","0.8773088503305104"
"Junk. Don't waste your money on this garbage.","negative","0.9900982594439091"
"Average experience. Nothing special about it.","neutral","0.6207518427765966"
"Excellent value for money. Fast shipping and well-packaged.","positive","0.8176446888266233"
"Not satisfied at all. Misleading description online.","negative","0.4424799232126251"
"Good for the price","positive","0.5179398858869176"
"One of the best products I've used recently!","positive","0.879433427726609"
"Returned it immediately. Poor quality and flimsy material.","negative","0.713911309905003"
"It’s fine. Does what it needs to do without issues.","positive","0.6062974021614247"
"Highly disappointed. Expected much more for the price.","positive","0.7344736947687043"
"Great build quality and excellent performance. Very happy!","positive","0.9879875770868557"
"Not worth the money. Broke after one week.","negative","0.9615580927937456"
"Smooth operation and easy to use. Love it!","positive","0.9490131820531483"
"The packaging was damaged","negative","0.5649271833058668"
"Could be cheaper for what you get.","positive","0.42426531804441014"
"Amazing Exceeded all my expectations.","positive","0.8838666208923422"
"Do not buy from this seller. No communication at all.","negative","0.9807032613666686"
"Works as advertised. Satisfied with the purchase.","positive","0.6598488447516719"
"Horrible experience. Will never shop here again.","negative","0.777957914541062"
"Perfect size and great color. Exactly what I wanted.","positive","0.9833200818930397"
"Battery drains too fast. Not lasting even half a day.","negative","0.8290808511256869"
"Super fast delivery and well protected. Great seller!","positive","0.9655547111862814"
"Not as described. Colors are way off.","neutral","0.5289495134648503"
"Easy setup and intuitive interface. Recommended!","positive","0.8132126978969695"
"Very flimsy. Feels cheap despite the high price.","neutral","0.5977975537220166"
"Outstanding performance! Worth every penny.","positive","0.7529462234242862"
"Too complicated to use. Needed help from my son.","positive","0.6432942204711516"
"Good sound quality","positive","0.7425048501462246"
"Best gift I’ve bought this year! She loved it.","positive","0.9223229881599236"
"Poor resolution. Not sharp enough for modern use.","negative","0.5615721562783412"
"Fast response and helpful support team. Thank you!","positive","0.8391196667469702"
"No issues so far. Running smoothly after two weeks.","negative","0.47149571729434514"
"Overpriced for the features offered.","negative","0.41932320078102936"
"Solid construction and looks premium.","positive","0.7199518695196621"
"Shipping took over two weeks. Unacceptable delay.","negative","0.44248340423757077"
"Exactly what I needed. Fits perfectly and works great.","positive","0.9928954506754911"
"Low volume even at maximum settings.","positive","0.4789497772036973"
"Impressive design and smooth finish. Very stylish.","positive","0.7099693057375116"
"Not durable. Lasted only 10 days before breaking.","negative","0.5110041914744979"
"Simple to install and works flawlessly.","positive","0.9217109231083159"
"Not suitable for outdoor use. Faded in sunlight.","negative","0.5178920272189595"
"Great for beginners. Easy to learn and fun to use.","positive","0.7574578979716553"
"Sleek look and feels solid in hand.","positive","0.715800857851969"
"Does the job","positive","0.6133950427024195"
